idsbr,nama_usaha,alamat_usaha,kode_wilayah,kdprov,kdkab,kdkec,kddesa,nmprov,nmkab,nmkec,nmdesa,perusahaan_id,status_perusahaan,skor_kalo,kegiatan_usaha,rank_nama,rank_alamat,history_ref_profiling_id,skala_usaha,sumber_data,latitude,longitude,latlong_status,gcid,gcs_result,allow_cancel,allow_edit,allow_flagging,latitude_gc,longitude_gc,latlong_status_gc,gc_username,kegiatan_usahanya,kategori,KBLI,nama_usaha_edit,alamat_usaha_edit,hasilgc
17444597,Nasi Kuning Manado Trikeke,"Jl. HOS. Cokroaminoto No.130, Limba U I, Kota Sel., Kota Gorontalo, Gorontalo 96135",7571020019,75,71,20,19,GORONTALO,GORONTALO,KOTA SELATAN,LIMBA U SATU,eyJpdiI6ImtrZ1dvamdWOUdUZkVKbVNsVzgwZmc9PSIsInZhbHVlIjoiL0NETVlSaEVrMnBKNXNPZEg5WUNxQT09IiwibWFjIjoiOTgwZTZiY2E5ZGUwZWNlN2MxYjY2ZWY2MzhhNDYyM2VlMTk2MmJiYjdmNmNlZTdhMDRhNGM1YzZmNDdmZDI1OSIsInRhZyI6IiJ9,Tidak Ditemukan,,,,,11/24/2025,,Tambahan Daerah s.d 31 Desember 2025,0.549768088,123.0633816,valid,,,FALSE,FALSE,TRUE,,,invalid,,,,,,,1
13522846,DEPOT AIR MINUM AQUARIL  <Yuyun Ismail >,Jalan Ratuwangi,7504020018,75,4,20,18,GORONTALO,BONE BOLANGO,KABILA,POOWO BARAT,eyJpdiI6IjdlVEVPSUdoRUI5N3pORTdaeTd1bHc9PSIsInZhbHVlIjoicGtzWGIxVWtlVVFnV1BDN3MxVEhmQT09IiwibWFjIjoiYTg1ZGQzNzQ0MTVkZTZlYTJiMGM0Njg5ZGJhODMyMzgyYzFlYTkzZDY4ZGY0ZTcwNjQ5N2NmNTJmNWUwYzllNiIsInRhZyI6IiJ9,Aktif,,"[Kegiatan Usaha: Menjual Eceran Air Minum Isi Ulang di Depot , Kategori: C, KBLI: 11052]",,,10/26/2025,UMKM,PL-KUMKM 2023,0.5530104,123.1003469,valid,,,FALSE,FALSE,TRUE,,,invalid,,,,,,,1
